sStart Time, Thu Feb 23 14:42:53 GMT-0700 2023,,
Energy calibration,  Offset: -0.06771931052207947, Slope: 0.1000848338007927, Quadratic: 0
Live Time (s),433.07,,
Real Time (s),522.36,,
Elapsed Computational,1000000,,
Spectrum,,,
Channel, Energy (keV), Counts,
2045,204.6057658,1098,
2046,204.7058506,1101,
2047,204.8059355,1111,
2048,204.9060203,1071,
2049,205.0061051,1083,
2050,205.10619,1107,
2051,205.2062748,1064,
2052,205.3063596,1143,
2053,205.4064445,1105,
2054,205.5065293,1046,
2055,205.6066142,1073,
2056,205.706699,1110,
2057,205.8067838,1072,
2058,205.9068687,1097,
2059,206.0069535,1128,
2060,206.1070383,1117,
2061,206.2071232,1086,
2062,206.307208,1074,
2063,206.4072928,1088,
2064,206.5073777,1071,
2065,206.6074625,1092,
2066,206.7075473,1120,
2067,206.8076322,1131,
2068,206.907717,1057,
2069,207.0078018,1085,
2070,207.1078867,1006,
2071,207.2079715,1036,
2072,207.3080563,1142,
2073,207.4081412,1093,
2074,207.508226,1052,
2075,207.6083108,1103,
2076,207.7083957,1025,
2077,207.8084805,1058,
2078,207.9085653,1064,
2079,208.0086502,1088,
2080,208.108735,1096,
2081,208.2088198,1076,
2082,208.3089047,1047,
2083,208.4089895,1083,
2084,208.5090743,1066,
2085,208.6091592,1023,
2086,208.709244,1049,
2087,208.8093288,1062,
2088,208.9094137,1083,
2089,209.0094985,1070,
2090,209.1095833,1054,
2091,209.2096682,1044,
2092,209.309753,1036,
2093,209.4098378,1079,
2094,209.5099227,1019,
2095,209.6100075,1089,
2096,209.7100923,1080,
2097,209.8101772,1070,
2098,209.910262,1082,
2099,210.0103468,1031,
2100,210.1104317,1116,
2101,210.2105165,1055,
2102,210.3106013,1094,
2103,210.4106862,1018,
2104,210.510771,1086,
2105,210.6108558,1073,
2106,210.7109407,1102,
2107,210.8110255,1023,
2108,210.9111103,1088,
2109,211.0111952,1072,
2110,211.11128,1079,
2111,211.2113648,1077,
2112,211.3114497,1098,
2113,211.4115345,1044,
2114,211.5116193,1052,
2115,211.6117042,1079,
2116,211.711789,1069,
2117,211.8118738,1150,
2118,211.9119587,1050,
2119,212.0120435,1083,
2120,212.1121283,1040,
2121,212.2122132,1132,
2122,212.312298,1070,
2123,212.4123828,1106,
2124,212.5124677,1148,
2125,212.6125525,1111,
2126,212.7126373,1071,
2127,212.8127222,1097,
2128,212.912807,1086,
2129,213.0128919,1094,
2130,213.1129767,1188,
2131,213.2130615,1091,
2132,213.3131464,1043,
2133,213.4132312,1080,
2134,213.513316,1128,
2135,213.6134009,1079,
2136,213.7134857,1062,
2137,213.8135705,1125,
2138,213.9136554,1137,
2139,214.0137402,1087,
2140,214.113825,1133,
2141,214.2139099,1083,
2142,214.3139947,1136,
2143,214.4140795,1054,
2144,214.5141644,1089,
2145,214.6142492,1105,
2146,214.714334,1132,
2147,214.8144189,1115,
2148,214.9145037,1087,
2149,215.0145885,1048,
2150,215.1146734,1093,
2151,215.2147582,1069,
2152,215.314843,1075,
2153,215.4149279,1085,
2154,215.5150127,1069,
2155,215.6150975,1073,
2156,215.7151824,1121,
2157,215.8152672,1092,
2158,215.915352,1012,
2159,216.0154369,1098,
2160,216.1155217,1064,
2161,216.2156065,1088,
2162,216.3156914,1069,
2163,216.4157762,1097,
2164,216.515861,1092,
2165,216.6159459,1068,
2166,216.7160307,1082,
